Problem Size,Default (ms),Impala (ms)
0,33,4
10,35,4
20,37,4
30,38,4
40,40,4
50,42,4
60,44,4
70,45,4
80,46,4
90,47,5
100,49,5
110,51,5
120,53,5
130,55,5
140,56,5
150,57,5
160,60,5
170,63,5
180,65,5
190,67,5
200,69,4
210,71,5
220,73,5
230,74,5
240,77,5
250,78,5
260,80,5
270,82,4
280,83,4
290,85,4
300,86,5
310,88,5
320,89,5
330,91,5
340,92,5
350,94,5
360,95,5
370,97,5
380,99,5
390,102,5
400,103,5
410,104,5
420,105,5
430,106,5
440,106,6
450,107,6
460,109,6
470,110,6
480,111,7
490,111,7
500,113,7
510,114,7
520,116,7
530,118,8
540,120,8
550,122,8
560,124,8
570,125,8
580,127,9
590,128,9
600,130,9
610,132,9
620,134,9
630,137,9
640,140,9
650,140,9
660,141,10
670,142,10
680,143,10
690,145,10
700,146,10
710,148,10
720,148,10
730,149,10
740,151,10
750,153,10
760,155,10
770,158,10
780,161,10
790,164,10
800,166,10
810,169,10
820,171,10
830,172,10
840,174,10
850,176,10
860,177,10
870,178,10
880,179,10
890,181,10
900,182,10
910,183,10
920,184,10
930,184,10
940,183,10
950,182,10
960,185,10
970,187,10
980,189,10
990,189,10
1000,191,10
