Problem Size,Default (ms),Impala (ms)
0,0,35
200,0,36
400,0,38
600,0,40
800,0,41
1000,0,43
1200,0,44
1400,0,45
1600,0,47
1800,0,49
2000,0,50
2200,0,51
2400,0,54
2600,0,55
2800,0,59
3000,0,60
3200,0,64
3400,0,68
3600,0,71
3800,0,74
4000,0,78
4200,0,83
4400,0,86
4600,0,90
4800,0,92
5000,0,95
5200,0,100
5400,0,105
5600,0,111
5800,0,119
6000,0,121
6200,0,125
6400,0,128
6600,0,132
6800,0,136
7000,0,141
7200,0,145
7400,0,152
7600,0,157
7800,0,160
8000,0,164
8200,0,168
8400,0,174
8600,0,176
8800,0,179
9000,0,182
9200,0,185
9400,0,192
9600,0,195
9800,0,198
10000,0,207
10200,0,211
10400,0,214
10600,0,218
10800,0,223
11000,0,228
11200,0,232
11400,0,234
11600,0,234
11800,0,236
12000,0,235
12200,0,240
12400,0,243
12600,0,247
12800,0,249
13000,0,252
13200,0,256
13400,0,259
13600,0,260
13800,0,263
14000,0,268
14200,0,273
14400,0,277
14600,0,280
14800,0,286
15000,0,292
15200,0,303
15400,0,308
15600,0,310
15800,0,316
16000,0,322
16200,0,321
16400,0,323
16600,0,326
16800,0,330
17000,0,334
17200,0,337
17400,0,341
17600,0,345
17800,0,355
18000,0,360
18200,0,363
18400,0,367
18600,0,372
18800,0,376
19000,0,380
19200,0,385
19400,0,390
19600,0,395
19800,0,398
20000,0,402
20200,0,405
20400,0,409
20600,0,412
20800,0,416
21000,0,420
21200,0,423
21400,0,420
21600,0,424
21800,0,427
22000,0,434
22200,0,437
22400,0,440
22600,0,441
22800,0,454
23000,0,456
23200,0,458
23400,0,465
23600,0,470
23800,0,483
24000,0,486
24200,0,492
24400,0,504
24600,0,508
24800,0,512
25000,0,514
25200,0,517
25400,0,519
25600,0,520
25800,0,528
26000,0,535
26200,0,536
26400,0,538
26600,0,539
26800,0,541
27000,0,543
27200,0,550
27400,0,554
27600,0,563
27800,0,565
28000,0,575
28200,0,574
28400,0,580
28600,0,587
28800,0,595
29000,0,592
29200,0,596
29400,0,602
29600,0,601
29800,0,610
30000,0,608
30200,0,610
30400,0,612
30600,0,609
30800,0,618
31000,0,622
31200,0,627
31400,0,641
31600,0,646
31800,0,649
32000,0,647
32200,0,650
32400,0,666
32600,0,672
32800,0,676
33000,0,682
33200,0,687
33400,0,691
33600,0,694
33800,0,689
34000,0,694
34200,0,689
34400,0,693
34600,0,693
34800,0,693
35000,0,696
35200,0,700
35400,0,704
35600,0,705
35800,0,709
36000,0,705
36200,0,703
36400,0,704
36600,0,706
36800,0,707
37000,0,703
37200,0,705
37400,0,708
37600,0,708
37800,0,710
38000,0,715
38200,0,717
38400,0,721
38600,0,714
38800,0,719
39000,0,723
39200,0,727
39400,0,729
39600,0,726
39800,0,729
40000,0,733
40200,0,737
40400,0,742
40600,0,745
40800,0,752
41000,0,755
41200,0,756
41400,0,755
41600,0,760
41800,0,766
42000,0,775
42200,0,785
42400,0,791
42600,0,797
42800,0,802
43000,0,814
43200,0,819
43400,0,835
43600,0,837
43800,0,835
44000,0,839
44200,0,843
44400,0,847
44600,0,851
44800,0,853
45000,0,854
45200,0,858
45400,0,863
45600,0,866
45800,0,873
46000,0,877
46200,0,882
46400,0,885
46600,0,890
46800,0,895
47000,0,891
47200,0,909
47400,0,914
47600,0,919
47800,0,923
48000,0,925
48200,0,941
48400,0,940
48600,0,942
48800,0,942
49000,0,944
49200,0,942
49400,0,946
49600,0,946
49800,0,953
50000,0,960
50200,0,964
50400,0,969
50600,0,995
50800,0,1001
51000,0,1006
51200,0,1011
51400,0,1014
51600,0,1050
51800,0,1060
52000,0,1064
52200,0,1069
52400,0,1069
52600,0,1100
52800,0,1105
53000,0,1109
53200,0,1116
53400,0,1124
53600,0,1128
53800,0,1132
54000,0,1136
54200,0,1142
54400,0,1127
54600,0,1130
54800,0,1162
55000,0,1167
55200,0,1171
55400,0,1173
55600,0,1175
55800,0,1213
56000,0,1216
56200,0,1216
56400,0,1252
56600,0,1255
56800,0,1235
57000,0,1237
57200,0,1243
57400,0,1290
57600,0,1293
57800,0,1263
58000,0,1304
58200,0,1305
58400,0,1309
58600,0,1316
58800,0,1292
59000,0,1297
59200,0,1299
59400,0,1303
59600,0,1292
59800,0,1293
60000,0,1297
60200,0,1297
60400,0,1302
60600,0,1306
60800,0,1343
61000,0,1318
61200,0,1321
61400,0,1367
61600,0,1371
61800,0,1375
62000,0,1372
62200,0,1375
62400,0,1382
62600,0,1352
62800,0,1357
63000,0,1367
63200,0,1369
63400,0,1397
63600,0,1361
63800,0,1365
64000,0,1371
64200,0,1339
64400,0,1347
64600,0,1351
64800,0,1354
65000,0,1385
65200,0,1385
65400,0,1391
65600,0,1397
65800,0,1399
66000,0,1405
66200,0,1409
66400,0,1414
66600,0,1416
66800,0,1422
67000,0,1448
67200,0,1457
67400,0,1466
67600,0,1433
67800,0,1438
68000,0,1462
68200,0,1434
68400,0,1437
68600,0,1442
68800,0,1451
69000,0,1455
69200,0,1455
69400,0,1460
69600,0,1461
69800,0,1468
70000,0,1473
70200,0,1473
70400,0,1470
70600,0,1471
70800,0,1480
71000,0,1486
71200,0,1469
71400,0,1477
71600,0,1481
71800,0,1487
72000,0,1512
72200,0,1518
72400,0,1523
72600,0,1529
72800,0,1538
73000,0,1543
73200,0,1503
73400,0,1501
73600,0,1504
73800,0,1521
74000,0,1567
74200,0,1552
74400,0,1554
74600,0,1556
74800,0,1560
75000,0,1560
75200,0,1599
75400,0,1604
75600,0,1608
75800,0,1592
76000,0,1590
76200,0,1592
76400,0,1595
76600,0,1635
76800,0,1643
77000,0,1643
77200,0,1645
77400,0,1644
77600,0,1682
77800,0,1684
78000,0,1685
78200,0,1669
78400,0,1672
78600,0,1678
78800,0,1736
79000,0,1734
79200,0,1736
79400,0,1728
79600,0,1734
79800,0,1785
80000,0,1770
80200,0,1731
80400,0,1780
80600,0,1785
80800,0,1815
81000,0,1817
81200,0,1822
81400,0,1794
81600,0,1798
81800,0,1804
82000,0,1806
82200,0,1811
82400,0,1816
82600,0,1820
82800,0,1791
83000,0,1793
83200,0,1796
83400,0,1797
83600,0,1803
83800,0,1771
84000,0,1779
84200,0,1781
84400,0,1788
84600,0,1791
84800,0,1793
85000,0,1743
85200,0,1746
85400,0,1750
85600,0,1755
85800,0,1757
86000,0,1731
86200,0,1736
86400,0,1802
86600,0,1785
86800,0,1788
87000,0,1768
87200,0,1774
87400,0,1779
87600,0,1780
87800,0,1784
88000,0,1787
88200,0,1792
88400,0,1792
88600,0,1822
88800,0,1828
89000,0,1884
89200,0,1912
89400,0,1915
89600,0,1971
89800,0,1974
90000,0,1980
90200,0,1983
90400,0,1993
90600,0,1991
90800,0,1995
91000,0,2004
91200,0,2007
91400,0,2043
91600,0,2050
91800,0,2104
92000,0,2115
92200,0,2131
92400,0,2136
92600,0,2130
92800,0,2110
93000,0,2209
93200,0,2213
93400,0,2259
93600,0,2265
93800,0,2271
94000,0,2279
94200,0,2290
94400,0,2315
94600,0,2321
94800,0,2303
95000,0,2310
95200,0,2261
95400,0,2241
95600,0,2249
95800,0,2198
96000,0,2202
96200,0,2207
96400,0,2206
96600,0,2241
96800,0,2247
97000,0,2305
97200,0,2316
97400,0,2334
97600,0,2320
97800,0,2337
98000,0,2298
98200,0,2312
98400,0,2292
98600,0,2310
98800,0,2260
99000,0,2281
99200,0,2157
99400,0,2174
99600,0,2116
99800,0,2126
100000,0,2141
