Problem Size,Default (ms),Impala (ms)
0,0,26
200,0,28
400,0,29
600,0,32
800,0,32
1000,0,33
1200,0,35
1400,0,36
1600,0,38
1800,0,39
2000,0,40
2200,0,41
2400,0,42
2600,0,44
2800,0,45
3000,0,47
3200,0,50
3400,0,52
3600,0,55
3800,0,57
4000,0,60
4200,0,63
4400,0,65
4600,0,68
4800,0,70
5000,0,73
5200,0,75
5400,0,77
5600,0,80
5800,0,82
6000,0,85
6200,0,87
6400,0,89
6600,0,92
6800,0,93
7000,0,97
7200,0,100
7400,0,103
7600,0,105
7800,0,107
8000,0,110
8200,0,113
8400,0,116
8600,0,118
8800,0,121
9000,0,124
9200,0,125
9400,0,128
9600,0,131
9800,0,134
10000,0,136
10200,0,139
10400,0,142
10600,0,144
10800,0,146
11000,0,148
11200,0,152
11400,0,155
11600,0,158
11800,0,161
12000,0,163
12200,0,165
12400,0,168
12600,0,172
12800,0,175
13000,0,177
13200,0,178
13400,0,181
13600,0,182
13800,0,185
14000,0,188
14200,0,190
14400,0,193
14600,0,195
14800,0,199
15000,0,201
15200,0,204
15400,0,206
15600,0,209
15800,0,212
16000,0,214
16200,0,216
16400,0,219
16600,0,221
16800,0,225
17000,0,227
17200,0,230
17400,0,232
17600,0,234
17800,0,237
18000,0,240
18200,0,242
18400,0,245
18600,0,247
18800,0,249
19000,0,252
19200,0,257
19400,0,261
19600,0,264
19800,0,268
20000,0,272
20200,0,275
20400,0,278
20600,0,280
20800,0,283
21000,0,284
21200,0,287
21400,0,290
21600,0,292
21800,0,295
22000,0,297
22200,0,299
22400,0,304
22600,0,305
22800,0,309
23000,0,311
23200,0,314
23400,0,316
23600,0,317
23800,0,321
24000,0,324
24200,0,325
24400,0,327
24600,0,331
24800,0,333
25000,0,336
25200,0,337
25400,0,338
25600,0,339
25800,0,340
26000,0,348
26200,0,350
26400,0,353
26600,0,355
26800,0,358
27000,0,361
27200,0,364
27400,0,366
27600,0,370
27800,0,373
28000,0,375
28200,0,379
28400,0,382
28600,0,382
28800,0,385
29000,0,387
29200,0,389
29400,0,392
29600,0,396
29800,0,398
30000,0,401
30200,0,404
30400,0,407
30600,0,411
30800,0,414
31000,0,419
31200,0,421
31400,0,425
31600,0,430
31800,0,434
32000,0,437
32200,0,433
32400,0,434
32600,0,435
32800,0,438
33000,0,441
33200,0,444
33400,0,446
33600,0,449
33800,0,450
34000,0,453
34200,0,455
