Problem Size,Default (ms),Impala (ms)
1010,31,10
1260,31,10
1510,32,10
1760,32,10
2010,33,10
2260,34,10
2510,34,10
2760,35,11
3010,35,11
3260,36,11
3510,36,11
3760,37,11
4010,37,11
4260,38,11
4510,38,11
4760,39,12
5010,39,12
5260,39,12
5510,40,12
5760,40,12
6010,41,13
6260,41,13
6510,42,13
6760,42,13
7010,43,13
7260,43,13
7510,44,14
7760,44,14
8010,45,14
8260,46,14
8510,46,14
8760,47,14
9010,47,14
9260,48,15
9510,48,15
9760,48,15
10010,48,15
10260,49,15
10510,49,15
10760,50,15
11010,50,15
11260,51,15
11510,51,16
11760,53,16
12010,53,16
12260,54,16
12510,54,16
12760,55,16
13010,55,16
13260,56,16
13510,56,16
13760,57,16
14010,58,17
14260,59,17
14510,60,17
14760,61,18
15010,61,18
15260,62,18
15510,63,18
15760,64,19
16010,65,19
16260,66,19
16510,68,19
16760,69,19
17010,70,20
17260,70,20
17510,72,20
17760,74,20
18010,75,20
18260,76,20
18510,77,20
18760,78,21
19010,79,21
19260,81,21
19510,82,21
19760,83,21
20010,84,22
20260,85,22
20510,86,22
20760,87,23
21010,88,24
21260,89,24
21510,90,24
21760,91,24
22010,91,24
22260,92,24
22510,93,25
22760,96,25
23010,97,25
23260,98,25
23510,98,25
23760,99,25
24010,100,26
24260,101,26
24510,102,26
24760,103,26
25010,104,26
25260,105,26
25510,106,27
25760,107,27
26010,108,27
26260,109,27
26510,110,29
26760,111,29
27010,112,29
27260,113,29
27510,114,30
27760,115,30
28010,116,30
28260,117,30
28510,118,30
28760,119,30
29010,120,31
29260,122,31
29510,123,31
29760,124,31
30010,125,31
30260,126,31
30510,127,32
30760,128,32
31010,129,32
31260,130,32
31510,131,32
31760,133,32
32010,134,32
32260,135,33
32510,136,33
32760,137,33
33010,138,33
33260,140,33
33510,141,34
33760,142,34
34010,143,34
34260,146,34
34510,147,34
34760,148,34
35010,149,34
35260,151,35
35510,152,35
35760,153,35
36010,154,35
36260,155,35
36510,156,35
36760,157,35
37010,157,35
37260,157,36
37510,158,36
37760,159,36
38010,160,36
38260,161,36
38510,162,36
38760,163,37
39010,166,37
39260,167,37
39510,168,37
39760,169,37
40010,170,38
40260,172,38
40510,173,39
40760,174,40
41010,175,40
41260,176,40
41510,176,40
41760,176,40
42010,178,42
42260,179,42
42510,182,42
42760,183,43
43010,182,43
43260,183,43
43510,185,43
43760,187,44
44010,188,44
44260,189,44
44510,189,44
44760,190,44
45010,192,46
45260,192,46
45510,193,46
45760,194,46
46010,195,45
46260,195,46
46510,196,47
46760,196,47
47010,197,47
47260,198,47
47510,198,49
47760,199,50
48010,199,50
48260,200,50
48510,200,50
48760,202,51
49010,203,51
49260,203,51
49510,204,51
49760,205,51
50010,206,52
50260,207,52
50510,208,54
50760,208,54
51010,209,54
51260,209,54
51510,210,54
51760,211,53
52010,212,53
52260,214,55
52510,214,55
52760,215,55
53010,216,55
53260,217,55
53510,218,55
53760,218,56
54010,219,56
54260,219,56
54510,219,58
54760,220,58
55010,220,59
55260,221,59
55510,222,59
55760,222,59
56010,223,59
56260,223,59
56510,224,60
56760,226,60
57010,227,60
57260,227,60
57510,228,60
57760,229,60
58010,229,60
58260,229,60
58510,230,60
58760,230,60
59010,231,61
59260,231,61
59510,230,61
59760,230,61
60010,231,61
60260,231,61
60510,232,62
60760,233,62
61010,233,62
61260,234,62
61510,234,62
61760,235,63
62010,236,63
62260,237,63
62510,238,63
62760,238,63
63010,239,63
63260,240,63
63510,241,63
63760,241,63
64010,242,64
64260,242,64
64510,242,65
64760,243,65
65010,243,65
65260,244,66
65510,244,67
65760,245,65
66010,246,65
66260,246,67
66510,247,67
66760,248,67
67010,249,67
67260,251,65
67510,251,65
67760,250,66
68010,250,66
68260,254,66
68510,255,66
68760,254,66
69010,254,66
69260,258,66
69510,259,66
69760,260,67
70010,260,67
70260,260,65
70510,261,66
70760,262,66
71010,263,66
71260,263,66
71510,267,65
71760,268,65
72010,269,69
72260,270,69
72510,271,70
72760,272,68
73010,272,68
73260,273,68
73510,274,68
73760,278,68
74010,277,68
74260,278,68
74510,279,68
74760,282,68
75010,283,68
75260,284,68
75510,285,69
75760,286,67
76010,287,67
76260,288,67
76510,289,67
76760,290,67
77010,302,68
77260,303,68
77510,304,67
77760,305,67
78010,307,67
78260,307,67
78510,307,67
78760,311,67
79010,312,67
79260,313,67
79510,314,67
79760,315,68
80010,316,68
80260,318,68
80510,318,68
80760,319,68
81010,319,68
81260,320,68
81510,321,68
81760,322,68
82010,328,69
82260,329,69
82510,330,69
82760,331,69
83010,332,69
83260,332,69
83510,333,69
83760,334,69
84010,335,70
84260,336,70
84510,337,74
84760,338,74
85010,340,74
85260,341,80
85510,343,80
85760,345,80
86010,345,80
86260,348,80
86510,349,81
86760,350,81
87010,352,81
87260,353,81
87510,354,81
87760,355,81
88010,356,82
88260,357,82
88510,357,82
88760,358,83
89010,359,83
89260,360,83
89510,360,84
89760,361,83
90010,362,83
90260,364,83
90510,365,82
90760,366,82
91010,366,83
91260,367,83
91510,369,82
91760,370,82
92010,371,82
92260,371,83
92510,371,83
92760,373,84
93010,373,84
93260,374,84
93510,372,84
93760,373,85
94010,375,85
94260,376,86
94510,371,86
94760,373,86
95010,374,87
95260,376,87
95510,377,87
95760,379,88
96010,380,88
96260,381,89
96510,383,89
96760,380,90
97010,382,90
97260,383,84
97510,384,84
97760,385,84
98010,387,85
98260,389,85
98510,390,85
98760,392,86
99010,388,86
99260,390,87
99510,392,87
99760,394,88
100010,390,89
