Problem Size,Default (ms),Impala (ms)
10,0,123
1010,0,128
2010,0,134
3010,0,139
4010,0,144
5010,0,149
6010,0,154
7010,0,160
8010,0,166
9010,0,171
10010,0,176
11010,0,181
12010,0,187
13010,0,192
14010,0,197
15010,0,203
16010,0,215
17010,0,226
18010,0,239
19010,0,250
20010,0,261
21010,0,273
22010,0,283
23010,0,294
24010,0,305
25010,0,317
26010,0,328
27010,0,339
28010,0,351
29010,0,360
30010,0,370
31010,0,381
32010,0,392
33010,0,402
34010,0,412
35010,0,423
36010,0,433
37010,0,446
38010,0,455
39010,0,466
40010,0,477
41010,0,487
42010,0,497
43010,0,507
44010,0,517
45010,0,528
46010,0,538
47010,0,548
48010,0,561
49010,0,570
50010,0,578
51010,0,588
52010,0,596
53010,0,609
54010,0,618
55010,0,629
56010,0,637
57010,0,648
58010,0,657
59010,0,666
60010,0,678
61010,0,689
62010,0,699
63010,0,710
64010,0,719
65010,0,730
66010,0,742
67010,0,753
68010,0,763
69010,0,775
70010,0,784
71010,0,796
72010,0,806
73010,0,816
74010,0,828
75010,0,839
76010,0,848
77010,0,857
78010,0,867
79010,0,876
80010,0,886
81010,0,896
82010,0,907
83010,0,917
84010,0,935
85010,0,945
86010,0,955
87010,0,966
88010,0,975
89010,0,986
90010,0,997
91010,0,1006
92010,0,1026
93010,0,1036
94010,0,1045
95010,0,1057
96010,0,1068
97010,0,1076
98010,0,1086
99010,0,1094
100010,0,1104
101010,0,1115
102010,0,1123
103010,0,1134
104010,0,1145
105010,0,1154
106010,0,1162
107010,0,1174
108010,0,1184
109010,0,1196
110010,0,1205
111010,0,1215
112010,0,1226
113010,0,1235
114010,0,1245
115010,0,1248
116010,0,1260
117010,0,1308
118010,0,1317
119010,0,1327
120010,0,1337
121010,0,1346
122010,0,1356
123010,0,1356
124010,0,1367
125010,0,1375
126010,0,1385
127010,0,1396
128010,0,1407
129010,0,1419
130010,0,1430
131010,0,1442
132010,0,1454
133010,0,1465
134010,0,1476
135010,0,1536
136010,0,1546
137010,0,1556
138010,0,1568
139010,0,1579
140010,0,1590
141010,0,1601
142010,0,1613
143010,0,1621
144010,0,1632
145010,0,1644
146010,0,1652
147010,0,1661
148010,0,1634
149010,0,1645
150010,0,1657
151010,0,1668
152010,0,1720
153010,0,1731
154010,0,1740
155010,0,1750
156010,0,1763
157010,0,1846
158010,0,1856
159010,0,1867
160010,0,1876
161010,0,1890
162010,0,1901
163010,0,1910
164010,0,1918
165010,0,1927
166010,0,1886
167010,0,1899
168010,0,1914
169010,0,1922
170010,0,1933
171010,0,1940
172010,0,1954
173010,0,1963
174010,0,1977
175010,0,1986
176010,0,1996
177010,0,2007
178010,0,2017
179010,0,2028
180010,0,2038
181010,0,2048
182010,0,2058
183010,0,2029
184010,0,2040
185010,0,2051
186010,0,2063
187010,0,2072
188010,0,2009
189010,0,2039
190010,0,2050
191010,0,2059
192010,0,2067
193010,0,2077
194010,0,2084
195010,0,2094
196010,0,2105
197010,0,2115
198010,0,2125
199010,0,2131
200010,0,2141
201010,0,2151
202010,0,2161
203010,0,2168
204010,0,2251
205010,0,2259
206010,0,2269
207010,0,2280
208010,0,2290
209010,0,2303
210010,0,2315
211010,0,2327
212010,0,2337
213010,0,2346
214010,0,2354
215010,0,2364
216010,0,2374
217010,0,2383
218010,0,2406
219010,0,2416
220010,0,2405
221010,0,2413
222010,0,2423
223010,0,2431
224010,0,2443
225010,0,2455
226010,0,2465
227010,0,2475
228010,0,2486
229010,0,2495
230010,0,2506
231010,0,2517
232010,0,2550
233010,0,2561
234010,0,2572
235010,0,2511
236010,0,2519
237010,0,2533
238010,0,2543
239010,0,2555
240010,0,2561
241010,0,2588
242010,0,2607
243010,0,2623
244010,0,2648
245010,0,2663
246010,0,2671
247010,0,2683
248010,0,2693
249010,0,2691
250010,0,2700
251010,0,2711
252010,0,2744
253010,0,2755
254010,0,2765
255010,0,2778
256010,0,2791
257010,0,2801
258010,0,2814
259010,0,2824
260010,0,2835
261010,0,2846
262010,0,2857
263010,0,2843
264010,0,2853
265010,0,2933
266010,0,2941
267010,0,2957
268010,0,2969
269010,0,2979
270010,0,2987
271010,0,3020
272010,0,3009
273010,0,3009
274010,0,3011
275010,0,3008
276010,0,3013
277010,0,3025
278010,0,3037
279010,0,3047
280010,0,3056
281010,0,3067
282010,0,3078
283010,0,3067
284010,0,3074
285010,0,3084
286010,0,3092
287010,0,3098
288010,0,3112
289010,0,3123
290010,0,3133
291010,0,3143
292010,0,3150
293010,0,3234
294010,0,3247
295010,0,3257
296010,0,3200
297010,0,3219
298010,0,3242
299010,0,3250
300010,0,3265
301010,0,3279
302010,0,3266
303010,0,3275
304010,0,3286
305010,0,3297
306010,0,3307
307010,0,3318
308010,0,3332
309010,0,3344
310010,0,3358
311010,0,3371
312010,0,3381
313010,0,3391
314010,0,3404
315010,0,3419
316010,0,3432
317010,0,3463
318010,0,3478
319010,0,3483
320010,0,3492
321010,0,3504
322010,0,3530
323010,0,3541
324010,0,3476
325010,0,3562
326010,0,3575
327010,0,3583
328010,0,3586
329010,0,3580
330010,0,3613
