Problem Size,Default (ms),Impala (ms)
1010,26,10
1260,27,10
1510,27,10
1760,28,10
2010,28,10
2260,29,10
2510,29,10
2760,32,10
3010,32,10
3260,32,10
3510,33,10
3760,33,10
4010,33,10
4260,34,10
4510,34,10
4760,34,10
5010,35,10
5260,35,10
5510,36,10
5760,36,11
6010,36,11
6260,37,11
6510,37,11
6760,37,11
7010,38,11
7260,38,11
7510,38,11
7760,39,11
8010,39,11
8260,40,11
8510,40,11
8760,41,11
9010,41,12
9260,42,12
9510,42,12
9760,42,12
10010,43,12
10260,43,12
10510,44,12
10760,44,12
11010,44,12
11260,45,12
11510,45,12
11760,45,13
12010,46,13
12260,46,13
12510,47,13
12760,47,13
13010,47,13
13260,48,13
13510,48,13
13760,49,13
14010,50,13
14260,51,14
14510,52,14
14760,53,14
15010,54,14
15260,55,14
15510,56,15
15760,57,15
16010,58,15
16260,58,15
16510,59,15
16760,60,15
17010,61,15
17260,62,15
17510,62,15
17760,63,16
18010,64,16
18260,65,16
18510,66,16
18760,66,16
19010,67,16
19260,68,16
19510,69,16
19760,70,17
20010,73,17
20260,74,17
20510,75,17
20760,75,17
21010,76,17
21260,77,17
21510,78,18
21760,79,18
22010,80,18
22260,81,18
22510,82,18
22760,83,18
23010,84,18
23260,85,19
23510,86,19
23760,87,19
24010,88,19
24260,89,19
24510,90,19
24760,91,20
25010,92,20
25260,92,20
25510,93,20
25760,94,20
26010,95,20
26260,96,20
26510,97,21
26760,98,21
27010,99,21
27260,103,21
27510,104,21
27760,105,21
28010,104,22
28260,105,22
28510,106,22
28760,107,22
29010,108,22
29260,109,23
29510,110,23
29760,111,23
30010,111,23
30260,112,23
30510,113,23
30760,114,24
31010,115,24
31260,116,24
31510,117,24
31760,118,24
32010,119,25
32260,120,25
32510,120,25
32760,121,25
33010,122,25
33260,123,26
33510,124,26
33760,124,26
34010,125,26
34260,126,29
34510,127,29
34760,127,30
35010,129,30
35260,130,30
35510,131,30
35760,132,30
36010,133,31
36260,134,31
36510,136,31
36760,137,31
37010,138,32
37260,139,32
37510,143,32
37760,145,33
38010,146,33
38260,147,33
38510,148,33
38760,149,33
39010,151,36
39260,151,37
39510,152,37
39760,153,37
40010,154,37
40260,156,37
40510,156,38
40760,157,38
41010,158,38
41260,159,38
41510,160,39
41760,160,39
42010,161,39
42260,162,39
42510,163,39
42760,164,40
43010,164,40
43260,165,40
43510,166,43
43760,167,43
44010,169,44
44260,169,44
44510,170,44
44760,172,44
45010,174,44
45260,173,45
45510,174,45
45760,174,45
46010,175,46
46260,176,46
46510,177,46
46760,177,46
47010,178,46
47260,179,47
47510,179,47
47760,180,49
48010,181,49
48260,181,50
48510,182,50
48760,183,50
49010,184,50
49260,185,51
49510,186,51
49760,187,51
50010,187,51
50260,188,52
50510,192,52
50760,192,52
51010,193,52
51260,194,52
51510,195,53
51760,197,53
52010,198,53
52260,198,53
52510,196,53
52760,197,54
53010,198,54
53260,199,54
53510,200,54
53760,201,54
54010,202,55
54260,203,55
54510,204,55
54760,205,56
55010,207,56
55260,208,56
55510,209,56
55760,210,56
56010,211,56
56260,211,56
56510,212,56
56760,212,56
57010,213,56
57260,213,57
57510,214,57
57760,215,57
58010,215,57
58260,216,57
58510,217,57
58760,218,57
59010,219,57
59260,219,57
59510,220,55
59760,220,55
60010,221,55
60260,221,55
60510,221,55
60760,222,55
61010,222,54
61260,225,54
61510,226,54
61760,226,54
62010,226,54
62260,227,55
62510,229,54
62760,226,54
63010,226,54
63260,226,54
63510,227,54
63760,227,54
64010,227,54
64260,227,52
64510,228,51
64760,228,53
65010,229,53
65260,229,53
65510,229,53
65760,230,53
66010,230,53
66260,231,53
66510,231,54
66760,232,54
67010,233,54
67260,234,54
67510,235,54
67760,235,54
68010,237,54
68260,240,54
68510,241,54
68760,241,52
69010,242,51
69260,243,52
69510,244,51
69760,244,52
70010,245,52
70260,248,53
70510,249,53
70760,250,53
71010,251,53
71260,252,53
71510,259,54
71760,260,54
72010,262,54
72260,263,54
72510,278,54
72760,280,54
73010,281,53
73260,281,53
73510,282,53
73760,283,53
74010,284,53
74260,285,53
74510,286,53
74760,287,53
75010,288,53
75260,289,53
75510,292,53
75760,290,53
76010,292,54
76260,293,54
76510,295,54
76760,296,54
77010,297,54
77260,297,54
77510,298,54
77760,299,55
78010,300,54
78260,301,55
78510,301,54
78760,302,55
79010,303,55
79260,305,55
79510,305,55
79760,306,55
80010,307,55
80260,307,55
80510,308,56
80760,309,56
81010,309,56
81260,310,56
81510,310,56
81760,311,56
82010,312,57
82260,314,57
82510,316,58
82760,318,58
83010,320,58
83260,322,58
83510,323,58
83760,325,59
84010,326,59
84260,327,59
84510,329,65
84760,331,65
85010,332,65
85260,334,66
85510,342,66
85760,343,66
86010,345,67
86260,345,67
86510,344,67
86760,345,68
87010,346,68
87260,347,68
87510,348,68
87760,348,69
88010,349,69
88260,350,69
88510,351,69
88760,352,69
89010,354,70
89260,355,70
89510,356,70
89760,357,71
90010,359,69
90260,360,69
90510,361,69
90760,363,70
91010,364,70
91260,365,70
91510,367,70
91760,368,70
92010,369,71
92260,371,71
92510,372,71
92760,373,72
93010,375,72
93260,376,72
93510,374,72
93760,375,73
94010,377,73
94260,379,73
94510,379,73
94760,381,74
95010,383,74
95260,383,74
95510,379,73
95760,380,73
96010,382,73
96260,382,73
96510,383,74
96760,376,74
97010,377,74
97260,377,75
97510,378,74
97760,357,74
98010,357,75
98260,358,74
98510,359,75
98760,359,75
99010,361,75
99260,362,76
99510,363,76
99760,363,77
100010,363,77
