Problem Size,Default (ms),Impala (ms)
10000,2178,380
29900,2272,370
49800,2366,395
69700,2461,403
89600,2558,444
109500,2655,450
129400,2753,475
149300,2851,467
169200,2948,458
189100,3046,486
200000,3144,479
209000,3243,471
228900,3377,464
248800,3476,457
268700,3594,465
288600,3693,462
308500,3792,492
328400,3890,488
348300,3989,506
368200,4088,528
388100,4188,549
408000,4389,594
427900,4590,625
447800,4792,649
467700,4993,699
487600,5195,733
507500,5397,765
527400,5614,792
547300,5816,800
567200,6018,848
587100,6219,858
607000,6423,908
626900,6655,932
646800,6851,932
666700,7058,932
686600,7251,925
706500,7458,945
726400,7664,974
746300,7872,1004
766200,8079,1040
786100,8272,1059
806000,8465,1083
825900,8672,1093
845800,8880,1124
865700,9201,1124
885600,9407,1116
905500,9613,1148
925400,9820,1181
945300,10159,1190
965200,10365,1224
985100,10572,1206
1005000,10778,1240
1024900,11013,1282
1044800,11256,1294
1064700,11586,1301
1084600,11777,1295
1104500,11984,1300
1124400,12191,1325
1144300,12397,1349
1164200,12603,1337
1184100,12810,1334
1204000,13106,1317
1223900,13404,1286
1243800,13706,1268
1263700,14005,1258
1283600,14303,1221
1303500,14602,1201
1323400,14910,1182
1343300,15197,1169
1363200,15503,1175
1383100,15807,1142
1403000,16114,1136
1422900,16362,1100
1442800,16543,1079
1462700,16747,1160
1482600,16955,1192
1502500,17160,1232
1522400,17365,1243
1542300,17570,1246
1562200,17775,1239
1582100,17983,1267
1602000,18187,1329
1621900,18329,1334
1641800,18473,1354
1661700,18617,1332
1681600,18639,1351
1701500,18787,1358
1721400,18937,1342
1741300,19089,1309
1761200,19080,1330
1781100,19234,1322
1801000,19391,1346
1820900,19552,1335
1840800,19678,1314
1860700,19751,1336
1880600,19730,1366
1900500,19897,1398
1920400,20066,1433
1940300,20243,1384
1960200,20428,1387
1980100,20620,1418
2000000,20820,1427
