Problem Size,Default (ms),Impala (ms)
0,4627,1658
13514,4669,1651
27027,4715,1702
40541,4760,1782
54054,4912,1772
67568,4954,1828
81081,4997,1870
94595,5042,1974
108108,5088,2007
121622,5135,1994
135135,5182,2037
148649,5230,2026
162162,5349,2018
175676,5399,2012
189189,5449,2051
202703,5591,2130
216216,5637,2122
229730,5685,2186
243243,5733,2179
256757,5868,2232
270270,5916,2317
283784,6116,2348
297297,6233,2421
310811,6332,2510
324324,6453,2586
337838,6513,2619
351351,6633,2706
364865,6754,2782
378378,6875,2887
391892,6996,2880
405405,7116,2986
418919,7236,2993
432432,7359,3031
445946,7418,3066
459459,7540,3065
472973,7726,3102
486486,7857,3197
500000,7976,3230
513514,8178,3332
527027,8298,3400
540541,8488,3375
554054,8607,3344
567568,8725,3461
581081,8843,3537
594595,8962,3516
608108,9020,3598
621622,9139,3587
635135,9263,3606
648649,9385,3650
662162,9504,3697
675676,9682,3850
689189,9801,3940
702703,9978,4088
716216,10041,4276
729730,10161,4366
743243,10236,4391
756757,10228,4378
770270,10305,4446
783784,10382,4442
797297,10461,4512
810811,10441,4518
824324,10518,4484
837838,10496,4558
851351,10573,4581
864865,10646,4585
878378,10724,4599
891892,10804,4681
905405,10884,4690
918919,10964,4715
932432,11046,4695
945946,11129,4792
959459,11219,4766
972973,11308,4872
986486,11395,4898
1000000,11492,5007
