Problem Size,Default (ms),Impala (ms)
0,426,368
10101,490,515
20202,560,567
30303,626,618
40404,693,678
50506,840,801
60607,982,928
70708,1120,1053
80809,1254,1176
90910,1393,1287
101011,1533,1351
111112,1672,1463
121213,1814,1824
131314,1960,1927
141416,2097,2040
151517,2599,2290
161618,2744,2607
171719,2909,2989
181820,3048,3701
191921,3196,3811
202022,3339,4162
212123,3496,4029
222224,3637,4149
232326,3782,4258
242427,3570,4521
252528,3716,4737
262629,3837,4567
272730,3991,4484
282831,4147,4597
292932,4301,4511
303033,4644,4863
313134,4794,5529
323236,4932,5642
333337,5432,5853
343438,5602,5786
353539,5756,5914
363640,6150,5637
373741,6289,6076
383842,6433,6230
393943,6639,6900
404044,7171,6959
414146,7593,7322
424247,7382,7723
434348,7526,7734
444449,7669,8693
454550,7581,9097
464651,7740,9298
474752,7878,9856
484853,7963,9817
494954,7721,9693
505046,7601,10140
515147,8048,9606
525248,8172,10669
535349,8609,9958
545450,9413,10747
555551,9837,10480
565652,9989,11037
575753,9921,11044
585854,11144,10939
595956,11283,11467
606057,11158,12480
616158,11318,12097
626259,11477,12672
636360,11299,12339
646461,11137,12488
656562,11289,12189
666663,11430,12393
676764,10872,13497
686866,11027,13161
696967,11441,12924
707068,11919,13768
717169,12066,13768
727270,11854,14208
737371,12037,14561
747472,12738,14869
757573,14550,16261
767674,14826,16817
777776,15498,18620
787877,15777,19342
797978,16102,18854
808079,16462,20194
818180,17243,21003
828281,17870,22474
838382,17986,23403
848483,16984,22677
858584,17054,23404
868686,17078,22619
878787,17404,22651
888888,17396,24009
898989,18561,24376
909090,18427,24440
919191,18581,24177
929292,18497,24996
939393,18653,25072
949494,18899,23764
959596,18703,23660
969697,18689,24060
979798,18959,23597
989899,17538,22962
1000000,17662,22672
