Problem Size,Default (ms),Impala (ms)
0,8449,478
12540,8601,524
36650,8769,523
89670,8904,528
165140,9047,564
178210,9226,600
188360,9360,599
196450,9495,603
211240,9654,606
223060,9853,645
257770,10034,646
330900,10236,650
351800,10409,677
378490,10616,707
397470,10806,707
399600,11058,727
400960,11285,760
418080,11526,786
452870,11771,795
557851,12011,798
632161,12284,825
638411,12548,830
646821,12835,834
658621,13125,837
678361,13439,861
698881,13780,881
727571,14068,884
773671,14439,903
774071,14794,923
788301,15167,976
806081,15530,1013
835381,15884,1035
851001,16255,1055
853761,16622,1060
968271,16977,1087
977871,17298,1090
980681,17662,1125
1057851,18101,1142
1095221,18570,1178
1150441,19106,1218
1195011,19617,1239
1204731,20120,1271
1241601,20703,1363
1282021,21242,1372
1312721,21842,1392
1357031,22340,1443
1368961,23039,1485
1377251,23766,1534
1386461,24547,1604
1387561,25498,1667
1399791,26425,1709
1399841,26689,1726
1427071,26957,1744
1452902,27228,1761
1482542,27499,1779
1531612,27766,1797
1533082,28038,1815
1539512,28315,1833
1686902,28596,1852
1710002,28882,1871
1762962,29173,1891
1796772,29465,1910
1797372,29757,1930
2008862,30050,1950
2087842,30348,1970
2211312,30650,1991
2217682,30959,2012
2281802,31266,2034
2285322,31588,2048
2398243,31901,2070
2563533,32219,2093
2618873,32529,2116
2811853,32849,2139
2871753,33179,2156
2904873,33515,2180
3012133,33858,2199
3065033,34209,2215
3394614,34563,2241
3501604,34917,2257
3602314,35283,2284
3687594,35633,2311
3725774,36012,2338
3782914,36401,2357
3845144,36767,2386
3863034,37173,2404
3876104,37573,2435
3974974,37961,2466
4613805,38356,2497
5115975,38757,2530
5343216,39161,2564
5455876,39597,2590
5492016,40033,2622
6045906,40439,2657
6096266,40862,2692
6115286,41296,2727
6131096,41774,2766
7223308,42205,2806
7902718,42707,2835
7933788,43198,2867
9517420,43692,2877
9578230,44218,2921
