Problem Size,Default (ms),Impala (ms)
100010,2720,367
200020,3047,374
300030,3413,393
400040,3490,402
500050,3649,428
600060,4123,443
700070,4716,470
800080,5368,495
900090,5821,527
1000100,6539,587
1100110,7051,647
1200120,7706,705
1300130,8408,750
1400140,9111,783
1500150,9866,858
1600160,10747,896
1700170,11424,945
1800180,12277,1005
1900190,13291,1045
2000200,14224,1082
2100210,14959,1101
2200220,16163,1131
2300230,17116,1173
2400240,18062,1243
2500250,18347,1285
2600260,19504,1304
2700270,20039,1355
2800280,20785,1400
2900290,21538,1431
3000300,21563,1468
3100310,22202,1517
3200320,23035,1565
3300330,23147,1596
3400340,23759,1727
3500350,24239,1757
3600360,25360,1828
3700370,25785,1882
3800380,26665,1910
3900390,26917,1981
4000400,27318,2021
4100410,27869,2094
4200420,28555,2135
4300430,28815,2176
4400440,29271,2249
4500450,29645,2180
4600460,29835,2194
4700470,29935,2221
4800480,30269,2246
4900490,30698,2289
5000500,30874,2303
5100510,31375,2341
5200520,32295,2379
5300530,32606,2421
5400540,33008,2460
5500550,33952,2485
5600560,34609,2539
5700570,35778,2586
5800580,36960,2631
5900590,38190,2697
6000600,38935,2740
6100610,40248,2789
6200620,41501,2822
6300630,42337,2875
6400640,42770,2905
6500650,44331,2964
6600660,45213,3037
6700670,46391,3095
6800680,47600,3185
6900690,48307,3225
7000700,48850,3274
7100710,49664,3331
7200720,50726,3432
7300730,50592,3518
7400740,51705,3537
7500750,52593,3601
7600760,53218,3622
7700770,53542,3646
7800780,54229,3680
7900790,54602,3722
8000800,55142,3761
8100810,55784,3836
8200820,57652,3899
8300830,59335,3915
8400840,60873,4015
8500850,61969,4115
8600860,63205,4188
8700870,63899,4280
8800880,64761,4305
8900890,65015,4387
9000900,65710,4425
9100910,66230,4486
9200920,66989,4475
9300930,66463,4527
9400940,65764,4532
9500950,65777,4525
9600960,66368,4577
9700970,66575,4588
9800980,66602,4594
9900990,67111,4656
10001000,67791,4658
10101010,67688,4676
