Problem Size,Default (ms),Impala (ms)
100010,100,779
200020,100,812
300030,100,848
400040,100,909
500050,100,945
600060,100,974
700070,100,1014
800080,100,1068
900090,100,1109
1000100,100,1158
1100110,100,1202
1200120,100,1270
1300130,100,1354
1400140,100,1445
1500150,100,1525
1600160,100,1608
1700170,100,1679
1800180,100,1751
1900190,100,1836
2000200,100,1933
2100210,100,2019
2200220,100,2116
2300230,100,2205
2400240,100,2337
2500250,100,2425
2600260,100,2515
2700270,100,2598
2800280,100,2690
2900290,100,2752
3000300,100,2825
3100310,100,2893
3200320,100,2967
3300330,100,3071
3400340,100,3174
3500350,100,3255
3600360,100,3329
3700370,100,3400
3800380,100,3475
3900390,100,3569
4000400,100,3633
4100410,100,3693
4200420,100,3776
4300430,100,3823
4400440,100,3932
4500450,100,3970
4600460,100,4016
4700470,100,4111
4800480,100,4197
4900490,100,4255
5000500,100,4355
5100510,100,4445
5200520,100,4584
5300530,100,4643
5400540,100,4722
5500550,100,4754
5600560,100,4821
5700570,100,4943
5800580,100,5090
5900590,100,5270
6000600,100,5326
6100610,100,5392
6200620,100,5471
6300630,100,5603
6400640,100,5683
6500650,100,5743
6600660,100,5807
6700670,100,5901
6800680,100,5984
6900690,100,6079
7000700,100,6184
7100710,100,6260
7200720,100,6372
7300730,100,6410
7400740,100,6493
7500750,100,6556
7600760,100,6668
7700770,100,6755
7800780,100,6812
7900790,100,6845
8000800,100,6866
8100810,100,6982
8200820,100,7112
8300830,100,7193
8400840,100,7211
8500850,100,7282
8600860,100,7346
8700870,100,7399
8800880,100,7490
8900890,100,7567
9000900,100,7626
9100910,100,7782
9200920,100,7822
9300930,100,7833
9400940,100,7867
9500950,100,7939
9600960,100,7992
9700970,100,8027
9800980,100,8062
9900990,100,8099
10001000,100,8144
10101010,100,8165
