Problem Size,Default (ms),Impala (ms)
740,1877,759
760,1866,768
1160,1871,779
1520,1896,786
1670,1914,800
1760,1942,823
1810,1949,829
2090,1955,835
2210,1931,841
2320,1918,837
2450,1937,835
2480,1962,839
2900,1952,839
2910,1941,839
2930,1959,843
3030,1961,849
3180,1964,860
3280,1975,866
3410,1977,873
3440,1979,881
3460,1962,874
3620,1980,892
3720,1983,898
3800,1976,900
3830,1972,905
3870,2005,914
3890,2001,916
3950,1998,919
4070,1994,922
4210,1988,924
4230,1985,926
4380,1988,932
4590,2003,938
4690,1997,938
4750,2015,946
4760,1998,955
4830,2006,963
4840,1994,966
4880,1999,973
4910,2037,977
4930,2047,978
5020,2055,986
5320,2074,992
5380,2080,995
5390,2087,1004
5420,2091,1005
5480,2079,1016
5540,2078,1016
5600,2091,1029
5610,2088,1035
5650,2095,1042
5660,2119,1066
5690,2126,1076
5700,2149,1090
5860,2171,1106
5900,2182,1121
5960,2183,1141
5990,2208,1157
6010,2192,1168
6020,2184,1175
6050,2198,1184
6130,2211,1192
6230,2223,1206
6360,2240,1217
6410,2264,1221
6420,2278,1229
6500,2294,1237
6530,2310,1249
6550,2325,1257
6610,2334,1269
6620,2355,1281
6660,2392,1292
6710,2400,1311
6880,2413,1328
6930,2428,1338
6940,2433,1352
6980,2478,1361
6990,2531,1390
7000,2553,1397
7080,2556,1408
7100,2567,1423
7170,2615,1448
7190,2627,1460
7200,2641,1463
7210,2627,1470
7320,2646,1479
7330,2665,1492
7360,2670,1500
7500,2662,1510
7520,2660,1524
7650,2644,1530
7660,2669,1532
7800,2689,1544
7870,2704,1558
7920,2720,1568
7980,2704,1574
8200,2707,1576
8220,2720,1594
8290,2742,1598
8340,2763,1609
8400,2759,1621
8690,2769,1625
8700,2788,1634
8760,2790,1640
8770,2789,1648
8800,2812,1663
8910,2812,1661
8920,2843,1665
8960,2885,1689
9020,2904,1692
9130,2928,1712
9190,2964,1740
9290,2959,1748
9310,2975,1767
9320,3007,1779
9340,3015,1788
9380,3025,1795
9630,3042,1804
9650,3025,1813
9720,3037,1821
9870,3056,1834
10040,3054,1852
10050,3054,1852
10110,3049,1861
10220,3065,1868
10260,3095,1885
10410,3069,1876
10570,3097,1884
10580,3128,1903
10600,3151,1917
10640,3166,1922
10650,3173,1933
10680,3197,1933
10710,3188,1942
10870,3191,1960
10980,3207,1968
11010,3237,1971
11140,3222,1967
11160,3251,1975
11230,3258,1978
11260,3233,1971
11280,3243,1986
11380,3257,1996
11460,3246,2010
11490,3251,2017
11540,3269,2027
11630,3275,2033
11990,3268,2044
12010,3320,2050
12450,3304,2053
12570,3327,2067
12620,3335,2067
12640,3320,2064
12850,3327,2073
12970,3320,2084
13020,3327,2090
13050,3345,2094
13190,3358,2087
13360,3365,2083
13380,3373,2100
13500,3398,2116
13560,3404,2130
13590,3435,2150
13680,3457,2162
13800,3472,2173
13840,3477,2189
13850,3474,2198
13880,3500,2206
13920,3516,2217
13940,3543,2223
14070,3556,2227
14150,3569,2238
14210,3571,2253
14330,3549,2238
14340,3529,2241
14480,3530,2239
14730,3547,2243
14910,3522,2264
14990,3483,2240
15340,3493,2251
15460,3522,2257
15500,3505,2257
15680,3503,2241
15720,3554,2281
15840,3553,2284
16120,3599,2298
16200,3600,2298
16280,3607,2307
16390,3645,2326
16410,3641,2319
16500,3689,2350
16820,3695,2363
16870,3713,2385
16910,3705,2379
17010,3725,2375
17020,3747,2384
17280,3767,2395
17400,3756,2391
17830,3788,2397
17960,3779,2413
18190,3773,2428
18280,3792,2434
18320,3795,2433
18350,3802,2442
18380,3861,2452
18430,3858,2463
18650,3815,2445
19290,3817,2445
19300,3843,2475
19450,3819,2462
19600,3847,2480
19870,3872,2486
20110,3831,2478
20180,3861,2493
20270,3887,2493
20500,3888,2499
20650,3904,2510
20900,3900,2510
20980,3900,2494
21520,3920,2491
21680,3956,2509
22090,3970,2524
22350,4078,2550
22740,4063,2561
23430,4078,2555
23960,4082,2560
24060,4093,2563
24520,4130,2588
24860,4146,2602
24970,4139,2598
25050,4148,2597
25640,4132,2627
25650,4125,2621
25680,4106,2635
25750,4101,2649
26180,4136,2648
26870,4093,2655
27200,4086,2662
27270,4117,2675
27390,4138,2681
27570,4180,2696
28060,4193,2717
28180,4196,2718
29960,4196,2718
30070,4212,2715
30780,4222,2723
30910,4219,2722
32040,4231,2733
33810,4274,2728
33980,4241,2740
34530,4270,2740
34670,4271,2738
34900,4279,2749
34970,4299,2754
36460,4309,2761
36760,4336,2762
37590,4339,2763
37600,4347,2769
39490,4338,2782
42340,4345,2797
44850,4337,2793
44950,4336,2792
49490,4338,2791
50230,4325,2784
50500,4314,2779
50820,4313,2776
53950,4299,2777
56630,4329,2784
57470,4315,2789
60450,4314,2787
61840,4299,2796
71940,4300,2803
72300,4297,2800
74670,4285,2790
77230,4317,2813
78230,4356,2817
81250,4370,2829
93050,4370,2838
109680,4393,2825
114800,4424,2849
119800,4420,2849
120120,4413,2850
125040,4465,2864
140480,4442,2882
151890,4372,2830
175100,4389,2855
186100,4369,2851
242000,4385,2867
283650,4388,2860
320460,4346,2846
403580,4389,2877
