Problem Size,Default (ms),Impala (ms)
150,443,288
230,449,292
280,457,298
340,459,297
540,466,301
560,473,306
600,481,311
740,488,319
880,496,322
900,501,324
990,507,329
1150,512,332
1160,514,333
1230,520,337
1290,526,342
1300,526,342
1430,534,348
1460,541,351
1510,546,355
1520,549,357
1540,551,359
1550,557,362
1600,563,366
1650,574,371
1760,579,374
1770,581,376
1800,588,380
1810,592,383
1910,595,384
2090,599,386
2140,605,390
2200,607,392
2210,611,395
2220,618,400
2250,618,403
2280,622,406
2320,623,406
2350,628,409
2360,635,413
2370,638,415
2420,642,417
2430,652,424
2470,662,430
2480,672,436
2500,682,443
2540,695,450
2570,700,458
2600,708,463
2630,718,470
2650,730,477
2720,735,481
2730,746,486
2750,754,491
2760,763,497
2800,770,501
2810,776,505
2850,781,509
2860,789,512
2900,799,518
2910,806,522
2930,812,526
2940,820,531
2960,826,536
2980,830,538
2990,838,544
3010,841,547
3030,848,552
3070,857,557
3090,862,562
3100,871,568
3110,871,568
3120,878,573
3130,882,576
3150,887,580
3170,892,583
3180,899,588
3220,904,590
3270,910,595
3280,919,600
3290,930,606
3300,935,611
3310,944,617
3320,951,621
3340,958,626
3370,967,633
3400,969,637
3410,975,640
3450,976,641
3460,983,642
3530,987,646
3550,995,652
3570,1001,655
3600,1007,660
3610,1014,665
3670,1019,667
3690,1025,670
3700,1034,678
3720,1038,679
3740,1043,684
3800,1052,689
3820,1057,693
3830,1066,698
3840,1073,704
3870,1073,705
3880,1072,705
3900,1077,709
3930,1087,714
3940,1093,720
3960,1096,722
4000,1105,727
4010,1109,730
4020,1117,733
4030,1127,739
4040,1134,744
4180,1134,744
4190,1144,747
4220,1151,751
4230,1156,755
4280,1165,760
4300,1169,763
4310,1176,768
4320,1184,773
4350,1191,777
4380,1193,778
4410,1199,782
4420,1203,787
4440,1207,789
4450,1218,792
4460,1229,799
4470,1241,802
4490,1241,803
4510,1251,809
4520,1259,815
4530,1267,819
4540,1275,824
4570,1284,830
4590,1294,839
4600,1302,845
4640,1304,847
4660,1311,851
4670,1316,854
4680,1320,857
4690,1327,861
4700,1340,871
4740,1349,877
4750,1354,881
4780,1360,885
4810,1357,884
4820,1359,886
4830,1369,891
4840,1370,891
4860,1383,900
4880,1389,903
4910,1394,907
4920,1396,908
4930,1402,912
4950,1407,916
4960,1413,920
4970,1419,922
4980,1423,926
4990,1432,932
5000,1440,936
5010,1444,939
5020,1451,944
5030,1458,948
5110,1464,951
5130,1469,952
5150,1467,952
5160,1475,958
5170,1483,965
5180,1510,978
5190,1515,982
5200,1516,983
5230,1516,983
5240,1521,986
5250,1525,989
5260,1530,993
5270,1533,994
5300,1533,995
5310,1540,1003
5320,1543,1006
5380,1547,1008
5390,1549,1010
5400,1549,1008
5410,1559,1014
5420,1567,1020
5430,1566,1019
5480,1565,1019
5490,1570,1019
5500,1577,1024
5510,1583,1028
5520,1593,1035
5540,1595,1037
5550,1604,1043
5590,1601,1040
5600,1606,1042
5620,1619,1050
5640,1617,1048
5650,1624,1054
5660,1625,1056
5670,1631,1060
5690,1644,1066
5710,1645,1067
5730,1649,1070
5790,1657,1076
5810,1662,1078
5820,1668,1080
5830,1672,1083
5840,1674,1084
5880,1676,1088
5900,1673,1091
5910,1681,1095
5940,1686,1099
5960,1684,1099
5970,1686,1101
5980,1684,1100
5990,1688,1103
6000,1692,1104
6020,1695,1104
6030,1700,1106
6040,1699,1105
6050,1706,1111
6060,1731,1124
6070,1734,1126
6090,1729,1122
6100,1727,1124
6140,1733,1129
6150,1747,1142
6160,1763,1152
6170,1763,1152
6230,1766,1154
6250,1769,1155
6270,1773,1157
6280,1782,1162
6290,1783,1164
6300,1792,1169
6310,1793,1170
6320,1795,1171
6370,1797,1172
6390,1800,1175
6410,1803,1177
6430,1801,1176
6440,1800,1176
6450,1807,1181
6460,1814,1186
6470,1817,1188
6500,1821,1191
6600,1838,1200
6620,1851,1207
6640,1852,1208
6650,1847,1204
6670,1830,1196
6680,1836,1199
6720,1838,1200
6730,1844,1203
6750,1846,1205
6760,1851,1208
6820,1851,1209
6850,1851,1208
6860,1864,1217
6870,1861,1212
6880,1869,1217
6900,1872,1218
6920,1872,1219
6930,1882,1226
6940,1891,1231
6960,1894,1233
6980,1901,1236
7010,1912,1243
7020,1929,1255
7080,1931,1257
7090,1925,1254
7110,1923,1254
7150,1932,1259
7190,1928,1258
7200,1937,1264
7220,1947,1272
7230,1957,1279
7240,1966,1286
7250,1971,1290
7260,1974,1292
7270,1976,1293
7280,1974,1293
7300,1979,1296
7320,1979,1296
7330,1985,1299
7350,1993,1306
7360,1992,1306
7390,1992,1307
7400,2005,1314
7410,2012,1317
7420,2013,1317
7430,2010,1315
7440,2012,1316
7480,2011,1314
7500,2011,1317
7510,2019,1323
7520,2027,1328
7560,2025,1327
7570,2031,1330
7590,2038,1336
7600,2050,1344
7620,2051,1345
7650,2038,1339
7660,2039,1341
7670,2040,1343
7740,2044,1345
7750,2063,1354
7780,2059,1347
7800,2061,1349
7830,2078,1358
7860,2085,1362
7870,2088,1364
7890,2088,1365
7920,2091,1368
7930,2112,1380
7940,2115,1383
7960,2125,1390
7980,2138,1397
8000,2150,1405
8050,2156,1410
8090,2163,1415
8100,2171,1420
8130,2170,1421
8140,2175,1424
8170,2172,1422
8180,2171,1421
8190,2176,1424
8210,2175,1429
8330,2185,1438
8340,2196,1445
8370,2201,1447
8380,2203,1448
8390,2200,1447
8420,2214,1455
8430,2231,1462
8440,2233,1464
8450,2234,1467
8480,2239,1469
8490,2245,1474
8500,2256,1477
8520,2258,1477
8540,2259,1481
8550,2270,1490
8570,2274,1492
8580,2282,1496
8590,2281,1497
8640,2286,1502
8650,2290,1504
8660,2288,1503
8680,2272,1496
8690,2285,1497
8700,2295,1503
8730,2302,1508
8740,2297,1506
8750,2304,1511
8770,2313,1517
8780,2322,1523
8790,2318,1517
8820,2324,1519
8860,2324,1518
8910,2333,1524
8920,2339,1527
8930,2346,1531
8940,2358,1540
8950,2375,1551
8960,2377,1554
8970,2377,1555
9030,2382,1559
9060,2390,1565
9080,2393,1566
9100,2399,1570
9140,2406,1573
9150,2420,1583
9160,2427,1589
9170,2443,1600
9190,2450,1602
9200,2447,1599
9230,2440,1594
9240,2451,1601
9250,2450,1601
