Problem Size,Default (ms),Impala (ms)
500,10055,1576
63000,10448,1653
125500,10866,1717
188000,11276,1801
250500,11684,1868
313000,12206,1940
375500,12618,2063
438000,12989,2130
500500,13359,2211
563000,13708,2266
625500,14051,2330
688000,14393,2427
750500,14772,2488
813000,15131,2561
875500,15499,2614
938000,15864,2687
1000500,16228,2748
1063000,16632,2803
1125500,16988,2896
1188000,17371,2958
1250500,17724,3032
1313000,18501,3186
1375500,19257,3332
1438000,20035,3485
1500500,20807,3622
1563000,21580,3792
1625500,22470,3928
1688000,23372,4131
1750500,24225,4336
1813000,25124,4478
1875500,26003,4635
1938000,26852,4814
2000500,27709,5001
2063000,28528,5162
2125500,29434,5331
2188000,30291,5474
2250500,31159,5637
2313000,32120,5801
2375500,33006,6029
2438000,34072,6190
2500500,35003,6361
2563000,35867,6514
2625500,36785,6694
2688000,37675,6850
2750500,37511,7018
2813000,37399,7231
2875500,38039,7411
2938000,39261,7566
3000500,40115,7686
3063000,40921,7809
3125500,41739,7945
3188000,42599,8134
3250500,43437,8350
3313000,44244,8556
3375500,45078,8747
3438000,45916,8939
3500500,46759,9116
3563000,47786,9311
3625500,48718,9536
3688000,49773,9685
3750500,50840,9937
3813000,51930,10169
3875500,51118,10428
3938000,52142,10681
3975500,52967,10846
4000000,53793,10990
4000500,54669,11103
4063000,55435,11286
4125500,56100,11418
4188000,56796,11533
4250500,57560,11692
4313000,58249,11887
4375500,59010,11998
4438000,59838,12065
4500500,60644,12206
4563000,61532,12345
4625500,62280,12507
4688000,63375,12713
4750500,64000,12876
4813000,64844,12967
4875500,65478,13154
4938000,66120,13325
5000000,66985,13522
5000500,67722,13650
5063000,68374,13881
5125500,70105,14084
5188000,71849,14234
5250500,72763,14398
5313000,73196,14543
5375500,73577,14686
5438000,74007,14818
5500500,74446,14960
5563000,74847,15040
5625500,75277,15061
5688000,75713,15123
5750500,76142,15191
5813000,76560,15280
5875500,76976,15366
5938000,77155,15445
6000500,77400,15490
6063000,77526,15592
6125500,77578,15588
6188000,77617,15591
6250500,80602,15537
6312500,80801,15468
6375000,81280,15555
6437500,81788,15664
6500000,82223,15827
6562500,82637,15927
