Problem Size,Default (ms),Impala (ms)
0,963,376
50,981,381
100,997,385
151,1016,389
201,1042,395
251,1058,397
301,1076,404
351,1090,408
402,1117,416
452,1132,422
502,1148,430
552,1164,434
602,1191,442
653,1206,446
703,1226,452
753,1242,457
803,1260,460
853,1276,463
904,1301,475
954,1324,478
1004,1343,485
1054,1359,489
1104,1378,498
1155,1397,502
1205,1413,506
1255,1430,508
1305,1447,514
1355,1468,519
1406,1488,530
1456,1504,536
1506,1521,540
1556,1545,543
1606,1562,549
1657,1579,553
1707,1595,560
1757,1612,568
1807,1629,572
1857,1647,576
1908,1664,580
1958,1681,587
2008,1698,590
2058,1720,595
2108,1737,599
2159,1754,604
2209,1771,615
2259,1791,623
2309,1806,627
2359,1823,634
2410,1839,638
2450,1857,643
2490,1873,646
2500,1909,656
2550,1926,656
2600,1944,662
2651,1963,669
2701,1982,675
2751,2000,682
2801,2019,688
2851,2037,695
2902,2056,701
2952,2074,708
3002,2093,712
3052,2112,718
3102,2130,722
3153,2149,729
3203,2169,736
3253,2188,740
3303,2207,746
3353,2226,751
3404,2245,757
3454,2264,765
3504,2284,760
3554,2300,758
3604,2319,763
3655,2334,769
3705,2352,775
3755,2369,775
3805,2389,782
3855,2407,789
3906,2428,790
3956,2447,798
4006,2467,803
4056,2486,810
4106,2505,817
4157,2525,824
4207,2544,830
4257,2558,828
4307,2577,836
4357,2596,843
4408,2614,850
4458,2634,857
4508,2654,860
4558,2673,867
4608,2692,874
4659,2713,882
4709,2726,885
4759,2744,889
4809,2763,896
4859,2784,903
4910,2793,908
4950,2812,916
5000,2818,925
